ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
396,Declared lifting of Martial Law,"Marcos formally issued Proclamation 2045 on January 17, 1981, ending martial law – but retained sweeping powers and failed to release detainees or lift repressive decrees.",Regime portrayed democratic opening while actual authoritarian control persisted.,Philippines,1981,Official proclamations and contemporaneous reporting,LLM
397,Political “salvaging” under Marcos,"From 1980–1984, at least 1 473 “salvage” cases involved mutilated bodies dumped in public; victims included priests, students, and activists.","Officials denied state-sponsored killings, disparaging victims as criminals or insurgents.",Philippines,1980–1984,"Task Force Detainees, Amnesty reports, academic documentation",LLM
398,Torture under Martial Law,"Torturers like Lt. Rodolfo Aguinaldo and Col. Rolando Abadilla were trained and used weapons of torture; hundreds of inmates were subjected to beatings, electrocution, and mutilation.","Marcos government denied torture, stating detainees were treated humanely under law.",Philippines,1972–1981,"AI mission reports, survivor accounts, NGO documentation",LLM
399,Escalante Massacre,"September 20, 1985: military and paramilitaries massacred 20–30 protesters in Negros Occidental during agrarian mobilization.","Authorities described it as riot control during illegal assemblies, not state violence.",Philippines,1985,NGO testimonies and human rights commission archives,LLM
400,Missing Democracy Leaders,Detainees like Ninoy Aquino (arrested before martial law) disappeared; many leaders were held without warrant for years.,"Government labeled them terrorists, held legally under martial law provisions.",Philippines,1972–1981,Government records; NGO and family reports,LLM
401,Overseas Labor Export Begins,"Under Marcos, Philippines initiated official overseas labor migration in early 1970s to relieve unemployment; this policy continues today.","Propaganda touted overseas workers as “modern heroes,” ignoring exploitative recruitment practices.",Philippines,1972–2025,Guardian investigation on labor export history,LLM
402,Martial law censorship,Marcos shut down or seized independent media outlets and controlled major broadcasters after declaring martial law in Sept 1972.,Officials claimed control necessary to prevent misinformation and Communist subversion.,Philippines,1972–1981,Press accounts; NGO freedom watch records,LLM
403,Disappearance Solved Under Marcos Jr,"As of 2024, investigations into torture, disappearances, and killings under Duterte and Marcos Jr are ongoing; UN experts call for accountability.","Government claims previous regimes' abuses are closed chapters, emphasizing forward-looking reforms.",Philippines,2022–2025,"UN experts, State Dept. and HRW reports",LLM
404,ICC Warrant for Duterte,"In 2025, ICC issued a warrant for former president Duterte over extrajudicial killings during the drug war (2016–2022), citing 6 000–30 000 deaths.","Philippines withdrew from ICC in 2018, but new government condemns the warrant as interference.",Philippines,2016–2022/2025,ICC records and news reporting,LLM
405,NGO “terror-tagging” under Marcos Jr,"Since 2024, at least 64 NGOs have been harassed and accused of terrorism under Marcos Jr’s anti–money-laundering and counter‑terror laws.","Authorities describe actions as anti-terror safeguards, alleging NGO funding malpractices.",Philippines,2021–2025,Time/NGO reports,LLM
406,Continuing drug-war killings,"Under Marcos Jr, at least 871 people were killed in police drug operations in 2023; investigations into wrongdoing remain slow and incomplete.","Police call these “legitimate anti‑drug ops,” while denying state responsibility for excesses.",Philippines,2022–2025,"Amnesty, State Dept., academic monitoring",LLM
407,ICC cooperation issues,"Marcos Jr's government has refused ICC access to key documents and suspects related to Duterte-era killings, despite international pressure.",Officials argue non-cooperation is legal due to Philippines’ withdrawal from ICC.,Philippines,2022–2025,HRW and UN expert reports,LLM
408,Red‑tagging of Activists,"“Red-tagging” continues, with activists and indigenous leaders being accused of terrorism, harassed and monitored by security forces.",Government defends red-tagging as a national security tool against Communist insurgency.,Philippines,2021–2025,"UN, Time, local rights organizations reports",LLM
409,ICC Arrest & Extradition of Duterte,"In mid‑2025, Duterte was arrested in Manila and flown to The Hague on ICC charge of “reign of terror” in the drug war.",Philippine officials accuse ICC of bias and sovereignty infringement.,Philippines,2025,News coverage,LLM
410,Legacy debates on Marcos era,Education and social discourse polarization: Marcos Jr's election benefited from historical revisionism and social media narratives minimizing past abuses.,"Campaign messages emphasize unity and economic progress, portraying the Marcos era as effective and benign.",Philippines,2022–2025,"Time analysis, election coverage",LLM
411,Philippine-American War (1899-1902),"The U.S. fought a brutal war against Filipino independence fighters, resulting in hundreds of thousands of Filipino deaths from combat, disease, and famine, using harsh tactics like concentration camps.","American popular history often downplayed the war's brutality, framing it as a ""pacification"" effort to bring civilization and democracy to the Philippines, rather than a colonial conquest.",Philippines,1899–1902,"Stanley, A Nation in Peril (1974); Linn, The Philippine War (2000)",LLM
412,"Marcos' ""War on Drugs"" (2016-Present)","Rodrigo Duterte's ""War on Drugs"" has resulted in thousands of extrajudicial killings by police and vigilantes, documented by human rights organizations and UN reports.","The Philippine government describes the campaign as a legitimate law enforcement effort to curb crime and drug addiction, dismissing widespread allegations of human rights abuses and systemic killings.",Philippines,2016–2025,Human Rights Watch; Amnesty International reports,LLM
413,"Post-War Philippines ""Hukbalahap"" Suppression","The Philippine government, with U.S. support, brutally suppressed the Hukbalahap (Huk) Rebellion in the late 1940s and 1950s, involving military abuses and forced relocations.","The Philippine government and U.S. narrative painted the Huks primarily as a communist-led terrorist group, downplaying their roots in peasant grievances and the severity of the state's counter-insurgency tactics.",Philippines,1946-1954,"Kerkvliet, The Huk Rebellion (1977)",LLM
414,Philippine Edsa People Power Revolution (1986),"The 1986 EDSA People Power Revolution peacefully overthrew the Marcos dictatorship through mass protests, restoring democracy.","Supporters of the Marcos family, including Ferdinand Marcos Jr., have attempted to revise history, downplaying the atrocities of martial law and portraying the Marcos era as a golden age of prosperity and stability.",Philippines,1986,"Thompson, The Philippine Kaleidoscope (1995); official historical accounts",LLM
415,"Post-War Philippines ""Hukbalahap"" (U.S. Role)","The U.S. government actively supported the Philippine government's brutal suppression of the Hukbalahap rebellion, viewing it through a Cold War anti-communist lens, despite the Huks' peasant-based grievances.","U.S. accounts often focused on supporting a fledgling democracy against a communist threat, downplaying the extent of U.S. involvement in counter-insurgency tactics and human rights abuses.",Philippines,1946-1954,"Schirmer & Shalom, The Philippines Reader (1987)",LLM
416,"Philippines' ""New Society"" under Marcos","Ferdinand Marcos declared a ""New Society"" under martial law (1972-1981), promising economic development and social reform.","Marcos' regime used this narrative to legitimize its authoritarian rule, downplaying widespread human rights abuses, corruption, and the suppression of democratic institutions.",Philippines,1972-1981,"McCoy, An Anarchy of Families (1993)",LLM
417,Philippines' Martial Law Atrocities (1972-1981),"Ferdinand Marcos' martial law period was characterized by widespread human rights abuses, including torture, extrajudicial killings, and forced disappearances of political opponents.","Marcos' regime claimed martial law was necessary to suppress communism and achieve national development, denying widespread abuses and corruption.",Philippines,1972-1981,Amnesty International; Task Force Detainees of the Philippines,LLM
418,"Philippines' Drug War (Duterte, 2016-2022)","President Rodrigo Duterte's ""war on drugs"" led to thousands of extrajudicial killings by police and vigilantes, with minimal due process.","Duterte's administration justified the killings as necessary to combat crime and drug addiction, denying state-sponsored killings and emphasizing public safety.",Philippines,2016-2022,Human Rights Watch; ICC preliminary examinations,LLM
419,Historical Revisionism of Martial Law under Marcos,"From 1972 to 1981, Ferdinand Marcos declared Martial Law, during which more than 70,000 were imprisoned, 3,257 extrajudicially killed, and widespread torture, censorship, and corruption occurred. Activist groups, journalists, and indigenous peoples were heavily targeted.","Modern pro-Marcos movements and certain political actors portray the Martial Law era as a “golden age” of peace, infrastructure growth, and discipline, denying abuses and corruption.",Philippines,1972–1986,"Amnesty Intl, HRW, Rappler, Ateneo Human Rights Center",manual
420,Disinformation Campaigns during the 2022 Elections,"Coordinated social media campaigns used TikTok, YouTube, and Facebook to whitewash the Marcos family’s legacy, spread false claims about infrastructure records, and vilify journalists and dissenters.","The Marcos campaign and allies claimed these were spontaneous, citizen-led truth-telling movements correcting “yellow propaganda” from previous administrations.",Philippines,2019–2022,"Rappler Investigative Unit, VERA Files, University of the Philippines study",manual
421,British Rule over Ireland,"British rule over Ireland was, according to some revisionist historians, ""a mixture of necessity, good intentions and bungling"" — not wholly oppressive, but complex and multifaceted in effect, with both coercive and reformist dimensions.","British rule over Ireland is portrayed by nationalist narratives as entirely oppressive, with Irish resistance seen as noble and wholly justified. Revisionists claim this is an overly simplistic morality tale of a ""ruthless oppressor"" vs ""victimized"" Irish.",Ireland,1700–1900,"The Making of Modern Irish History: Revisionism and the Revisionist Controversy, eds. D. George Boyce & Alan O'Day (Routledge, 1996)",manual
422,The Great Famine in Ireland,"The Great Famine is presented by traditional historians as a period of immense suffering tied to colonial misrule, where the failure of the British government to intervene adequately reflects its imperial priorities and neglect.","The Great Famine, under revisionist approaches, is de-politicized through a ""value-free"" framework that omits colonial responsibility and instead treats the event as a neutral economic disaster, downplaying the suffering and political consequences.",Ireland,1845–1852,"The Making of Modern Irish History: Revisionism and the Revisionist Controversy, eds. D. George Boyce & Alan O'Day (Routledge, 1996)",manual
423,1916 Easter Rising,"The 1916 Easter Rising is traditionally understood as a legitimate anti-colonial struggle rooted in Irish nationalism, symbolizing resistance to oppression and the foundation of the modern Irish state.","The 1916 Easter Rising is reinterpreted by revisionists with ""practised irony"" and ""ultra-scepticism"", portraying it as misguided, ideologically radical, and unnecessarily violent, challenging its heroic status.",Ireland,1916,"The Making of Modern Irish History: Revisionism and the Revisionist Controversy, eds. D. George Boyce & Alan O'Day (Routledge, 1996)",manual
424,Richard C. Lukas and distortion of Polish Holocaust history,"Richard C. Lukas claimed in his book The Forgotten Holocaust (1986) that ethnic Poles were victims of a ""separate Holocaust"" under Nazi Germany and downplayed antisemitism in Poland while overstating the number of Poles who rescued Jews. His work was strongly criticized by historians for ignoring archival sources and inventing facts.",The false version presented by Lukas promotes the idea that ethnic Poles were equally victimized as Jews and that Jews dominated Holocaust historiography to suppress this narrative. This revisionist framing alters the definition of the Holocaust to blur its focus and minimizes Polish complicity.,Poland,1939–1945,"Simple English Wikipedia, “Richard C. Lukas” section",manual
425,Holocaust distortion on Croatian Wikipedia (2009–2021),"The Independent State of Croatia (NDH) was a Nazi puppet regime responsible for mass killings, including the murder of 77,000–99,000 people at the Jasenovac concentration camp. This has been verified by historians and commemorated internationally.","Far-right administrators of Croatian Wikipedia falsely portrayed the Jasenovac camp as merely a ""collection camp,"" censored war crimes of the NDH, blocked editors correcting falsehoods, and promoted Holocaust denial. These distortions were condemned by scholars, officials, and the Wikimedia Foundation.",Croatia,2009–2021,"Simple English Wikipedia, “Croatian Wikipedia” section",manual
426,Cambodian genocide denial by Western leftist academics,"The Cambodian genocide, carried out by the Khmer Rouge regime from 1975–1979, resulted in the deaths of up to 3,000,000 people. Refugee testimonies and international observers confirmed mass killings and atrocities.","Western academics like Noam Chomsky, Edward S. Herman, and Gareth Porter denied the genocide or minimized it, relying on Khmer Rouge and Chinese propaganda. They questioned refugee credibility and shifted blame to external forces, promoting a narrative that aligned with their anti-imperialist worldview.",Cambodia,1975–1979,"Simple English Wikipedia, “Cambodian genocide denial” section",manual
427,Rwandan genocide denial by Edward S. Herman and David Peterson,"The Rwandan genocide in 1994 involved the systematic mass murder of approximately 800,000 people, mostly Tutsis, over 100 days. It is recognized internationally as a genocide.","Herman and Peterson falsely claimed that the genocide narrative was exaggerated or manipulated by Western media to promote geopolitical interests. They denied the classification and minimized the extent of atrocities, despite the lack of media coverage during the actual genocide.",Rwanda,1994,"Simple English Wikipedia, “Rwandan genocide denial” section",manual
428,Libel suit: Irving vs. Penguin Books/Deborah Lipstadt,Court affirmed that evidence supports systemic murder in a gas chamber regime at Auschwitz and dismissed Irving’s distortions as contrary to the historical record.,"Irving claimed that Lipstadt defamed him by calling him a Holocaust denier — the court rejected this, confirming that Irving had deliberately misrepresented historical evidence and distorted facts in a way aligned with denialist ideology.",United Kingdom,2000,Irving v Penguin Books Ltd,manual
429,Holocaust distortion attempts by Richard C. Lukas,Holocaust historians such as David Engel and Jan Grabowski demonstrated that Lukas exaggerated Polish suffering and rescue efforts while minimizing antisemitism and falsifying claims with no archival evidence.,"Richard C. Lukas argued for a “separate Holocaust” of ethnic Poles, understated Polish antisemitism, and falsely claimed “Jewish historians” controlled Holocaust narratives to obscure Polish heroism, despite scholarly evidence to the contrary.",Poland,1939–1945,"Wikipedia: Denying History, Slavic Review critique of Lukas",manual
430,Communist Historiography under Marxist-Leninist Rule in Czechoslovakia,"Communist historiography in Czechoslovakia, based on strict Marxist-Leninist rules, interpreted the socialist revolution and communist government as the ""highest and most progressive stage of historical development,"" legitimizing Party rule.","Communist regimes portrayed their rise as historically inevitable and superior, suppressing alternative interpretations and dissenting views.",Czechoslovakia,1948–1989,"Michal Kopeček, “In Search of National Memory,” in Past in the Making (CEU Press, 2008)",manual
431,Prague Spring of 1968 Reinterpretation under Husák Regime,"The Prague Spring was a reform movement aiming for “socialism with a human face,” featuring democratizing reforms and internal critique of the regime. Historians from the 1968 generation emphasized its democratic nature and resemblance to later perestroika efforts.","The Husák regime depicted the Prague Spring as a “counter-revolution” supported by the imperialist West, suppressing its memory and labeling it as treacherous rather than reformist.",Czechoslovakia,1968–1989,"Michal Kopeček, “In Search of National Memory,” in Past in the Making (CEU Press, 2008)",manual
432,Polish Institute of National Memory (IPN) and Restorative Nostalgia,"The Polish IPN was founded to research and prosecute crimes from the Nazi and communist periods, but critics argue it promotes restorative nostalgia—portraying the communist era as entirely criminal and idealizing nationalist resistance without nuance.","Conservative actors in Poland have used the IPN to promote a morally polarized version of history, casting Poles as eternal victims and freedom fighters, erasing ambivalence or local complicity in communist or wartime actions.",Poland,2005–2025,"Michal Kopeček, “In Search of National Memory,” in Past in the Making (CEU Press, 2008)",manual
433,Legacy of General Rudolf Medek and the Czechoslovak Legion,General Rudolf Medek was a prominent figure in the interwar Czechoslovak Republic and a major proponent of the legionary tradition. He linked national independence to anti-Bolshevism and sought to establish the Legions as foundational to statehood and military culture.,"In post-1948 Czech historiography, especially under communism, Medek's legacy was marginalized or ignored due to his anti-communist stance and connections with interwar nationalism. His political role was often dismissed or framed as reactionary or proto-fascist.",Czechoslovakia,1918–1948,"Katya A. M. Kocourek, “The Czechoslovak Legionary Tradition and the Battle Against the ‘Beneš Doctrine’ in Czech Historiography,” in Past in the Making, CEU Press (2008)",manual
434,Post-1989 moral revisionism and reinterpretation of communism in Hungary,"Post-1989 Hungary saw a surge in moral revisionism, where communism was morally delegitimized across political discourse. The democratic transition was framed as a break from an immoral past, and figures like János Kádár were denounced as traitors. This framing emphasized historical justice and moral reckoning, positioning the anti-communist opposition as morally righteous inheritors of the nation.","The communist regime under János Kádár was retrospectively cast by some as relatively stable and pragmatic, downplaying repression. Kádár was also praised by segments of the public for fostering “development” and “reform,” presenting him as a competent leader rather than a morally compromised figure, thus muddying the legacy of dictatorship.",Hungary,1989–2006,"Ferenc Laczó, “The Many Moralists and the Few Communists,” in Past in the Making: Historical Revisionism in Central Europe after 1989, CEU Press (2008)",manual
435,Reburial of Imre Nagy and reinterpretation by MSZMP,"In 1989, the Hungarian Socialist Workers' Party (HSWP) attempted to incorporate Imre Nagy’s heritage into their own legacy. The Central Committee declared: “We wish to bring justice to those who fought, and laid down their lives, to humanize and democratize social relations and to defend our national interests.” This was part of their attempt to associate the Party with democratic reform.","Despite executing Imre Nagy in 1958, the HSWP attempted to claim his political legacy in 1989. László Kovács stated: “This statement only makes sense if we were on both sides of the barricade,” implying moral equivalence between reformers and suppressors. This was used to delay deeper political transformation while claiming continuity.",Hungary,1989,"András Mink, “The Revisions of the 1956 Hungarian Revolution,” in Past in the Making (CEU Press, 2008)",manual
436,Right-wing revisionism of 1956 post-1989,"Initially, freedom fighters like Gergely Pongrátz described 1956 as a fight for “democratic socialism, a kind of fair and free society.” This image aligned with egalitarian ideals and opposition to dictatorship, not a restoration of the past.","After 1989, some right-wing revisionists reframed 1956 as “an attempt to return to Hungary’s pre-1945 roots.” Pongrátz “carefully omitted” earlier pro-socialist remarks in later editions. Others, like Róbert Szalay, claimed 1956 “continued the anti-Bolshevik fight started by Ferenc Szálasi,” aligning it with fascist legacies previously condemned even by Kádárist propaganda.",Hungary,1989–1999,"András Mink, “The Revisions of the 1956 Hungarian Revolution,” in Past in the Making (CEU Press, 2008)",manual
437,David Irving’s narrative of the 1956 Revolution,"Western and dissident historians stressed 1956 was a fight against dictatorship and for independence. “The insurgents fought against dictatorship and for national independence,” with atrocities being marginal and not representative of the movement’s goals.","David Irving, with regime support, claimed the revolution was “a pogrom against communists of Jewish origin.” This was used to discredit the uprising abroad and aligned with the regime’s effort to paint the revolution as fascist rather than democratic.",United Kingdom,1981,"András Mink, “The Revisions of the 1956 Hungarian Revolution,” in Past in the Making (CEU Press, 2008); David Irving, Uprising!",manual
438,Kádárist framing of the 1956 revolution,"The 1956 revolution “was sparked off by the deceit and brutality of Mátyás Rákosi’s Stalinist regime.” It included students, workers, reform communists, and others demanding reform, pluralism, and national sovereignty. The democratic character was supported by interviews with refugees in 1957–58.","Kádár-era historians claimed 1956 was a fascist uprising: “the lumpen and the servants of the old regime drifted into the armed groups,” led by “officers of the former Horthy regime.” Workers’ councils were called “openly counter-revolutionary,” led by “cashiered military officers, judges, gendarmes, priests…” and aimed to restore the “dark past” of pre-1945 Hungary.",Hungary,1956–1958,"András Mink, “The Revisions of the 1956 Hungarian Revolution,” in Past in the Making (CEU Press, 2008)",manual
439,Contesting memory of 1956 between political factions,"After 1989, both left and right sought to claim 1956. The HSWP declared: “We cherish the political heritage of those who participated… to humanize and democratize social relations,” while conservatives stressed martyrdom and anti-communism. Competing narratives shaped the political use of history in public discourse.","Lukács’ formula was revived to neutralize conflict: “Hungary’s 1956 should be called neither a counter-revolution nor a revolution, but an uprising.” This phrasing allowed both former communists and new conservatives to appropriate the memory of 1956 without facing moral accountability. It blurred the democratic and anti-totalitarian nature of the uprising.",Hungary,1989–1995,"András Mink, “The Revisions of the 1956 Hungarian Revolution,” in Past in the Making (CEU Press, 2008)",manual
440,Holodomor (1932–1933) as Famine Denial under the Soviet Regime,"The Holodomor of 1932–1933 was a man-made famine orchestrated by the Soviet regime, resulting in the death of millions in Ukraine. During the famine, the government imposed excessive grain requisitions and enforced collectivization, deliberately causing starvation. The Soviet regime not only failed to provide aid but actively suppressed any memory or recognition of the tragedy. Discussion of the famine was prohibited, and survivors feared repercussions for speaking of it even within families. Only in the late 1980s did the topic begin to re-enter public discourse, and by 1990, official archival materials were published confirming its scale and state repression.","The Soviet regime denied the existence of the famine entirely for decades. When forced to acknowledge food shortages, they attributed them to drought or logistical issues, never to state policy. The official narrative maintained that no famine occurred, and any mention of such events was labeled as anti-Soviet propaganda. References to the famine in school, public discourse, or research were suppressed.",Ukraine,1932–1933,"Georgiy Kasianov, ""Revisiting the Great Famine of 1932–1933,"" in Past in the Making (CEU Press, 2008)",manual
441,President Leonid Kuchma’s 2003 Appeal vs Parliamentary Recognition of Genocide,"President Kuchma addressed the UN General Assembly in 2003 urging remembrance of the famine. While his administration sought international recognition of the tragedy, official efforts were cautious and failed to label the famine as genocide. Nonetheless, the Ukrainian Parliament issued an “Appeal to the Ukrainian People” in May 2003 declaring the famine an act of genocide against Ukrainians.","Despite acknowledging the famine, President Kuchma’s administration avoided explicitly calling it genocide in international diplomacy. Their efforts focused on symbolic gestures without pressing for legal recognition of Soviet culpability, thus maintaining a careful balance that avoided antagonizing Russia.",Ukraine,2003,"Georgiy Kasianov, ""Revisiting the Great Famine of 1932–1933,"" in Past in the Making (CEU Press, 2008)",manual
442,2006 Ukrainian Law Declaring Holodomor Genocide vs Lack of Enforcement,"In 2006, the Ukrainian Parliament passed the Law on Man-Made Famine of 1932–1933 in Ukraine, officially recognizing the famine as genocide. Article 1 defined it as such, and Article 2 criminalized denial as a humiliation of national dignity and memory of victims.","Although the law declared Holodomor as genocide and condemned denial, it did not include enforcement mechanisms. No legal consequences for denial were introduced, making the law largely symbolic and open to political manipulation rather than serving justice.",Ukraine,2006,"Georgiy Kasianov, ""Revisiting the Great Famine of 1932–1933,"" in Past in the Making (CEU Press, 2008)",manual
443,Estonian Occupation Museum's portrayal of Soviet and Nazi regimes,"The Estonian Occupation Museum presents Soviet and Nazi occupations as parallel totalitarian regimes, emphasizing Estonian national suffering. It focuses on deportations and repression by Soviet authorities from 1940/41 to 1991, and largely omits attention to the Holocaust or Estonian collaboration with the Nazis.","Critics, including the Russian Foreign Ministry, accused the museum of equating fascist Germany and the USSR, alleging political bias. The public narrative omitted Soviet collaboration and overstated Estonian victimhood while minimizing the Holocaust and Nazi crimes on Estonian soil.",Estonia,1940–1991,"Meike Wulf, “The Struggle for Official Recognition of ‘Displaced’ Group Memories in Post-Soviet Estonia,” in Past in the Making (CEU Press, 2008)",manual
444,Estonian International Commission for the Investigation of Crimes,The Commission confirmed that Estonian units such as Omakaitse and the 36th Police Battalion participated in the Holocaust and identified local perpetrators. It debunked the myth of a “just war” against Bolshevism and emphasized Estonian collaboration with Nazi crimes in and outside Estonia.,"Although the Commission published its findings, Estonian authorities did not prosecute identified war criminals. National memory largely continued to portray Estonians only as victims of Soviet repression, downplaying Nazi collaboration and failing to integrate these truths into public history or education.",Estonia,1941–1944,"Meike Wulf, “The Struggle for Official Recognition...,” in Past in the Making (CEU Press, 2008); Estonian History Commission Report (2001)",manual
445,Lihula Monument Controversy,"The Lihula monument honored Estonians who fought in German uniform, stating they fought “against Bolshevism and for the restoration of Estonian independence.” Local narratives framed these men as defenders of Estonia.","The Estonian national government removed the monument, arguing it commemorated totalitarian regimes and could damage international reputation. The monument’s supporters saw it as honoring freedom fighters, but critics viewed it as glorifying Nazi collaboration and rewriting WWII history.",Estonia,2004,"Meike Wulf, “The Struggle for Official Recognition...,” in Past in the Making (CEU Press, 2008); Baltic Times (2004)",manual
446,Khmer Rouge Genocide,"Between 1975–79, Pol Pot’s regime executed about 1.7 million Cambodians (≈21 % of pop.), targeting intellectuals and minorities.",Post‑1979 governments and surviving regime apologists describe it as a “socialist revolution misstep” rather than genocide.,Cambodia,1975‑1979,"Chandler, Brother Number One (1992)",LLM
447,Vietnam “Boat People” Exodus,"From 1975–79, over 1 million Vietnamese fled by sea; thousands died from piracy, starvation, and storms; UNHCR and survivor testimonies confirm the crisis.",The Socialist Republic condemned those fleeing as “traitors influenced by capitalist propaganda.”,Vietnam,1975–1979,"Thayer, Vietnamese Boat People Story (1989) / UNHCR",LLM
448,Gwangju Uprising,"In May 1980, South Korean troops killed at least several hundred pro‑democracy citizens in Gwangju; U.S. declassified documents and survivors confirm military responsibility.",Chun Doo‑hwan’s regime called the incident a “communist riot” to justify martial law.,South Korea,1980,"Oberdorfer, The Two Koreas (1997)",LLM
449,India 1984 Anti‑Sikh Riots,"Following PM Indira Gandhi’s assassination in October 1984, mobs killed up to 3,000 Sikhs in Delhi; police complicity confirmed by eyewitnesses and commissions.","Government referred to the violence as spontaneous ""religious riots"" without acknowledging state failure.",India,1984,"Human Rights Watch (1992) / Misra, Sikhs and the Indian State (1994)",LLM
450,Bangladesh Genocide 1971,"In March–December 1971, Pakistani forces killed 300,000–500,000 in East Pakistan; targeted Bengalis and intellectuals.",Pakistani officials described the operation as anti‑terrorism measures and denied charges of genocide.,Bangladesh,1971,"Rummel, Death by Government (1994); journalist reports",LLM
452,Myanmar 1988 Crackdown,"In Aug–Sept 1988, Myanmar’s military junta killed around 3,000 pro‑democracy protesters, including Buddhist monks; UN and international observers confirmed large‑scale violence.",State media branded protesters as “rioters” and denied accountability or death tolls.,Myanmar,1988,"Taylor, The State in Myanmar (2009); UN analysis",LLM
453,East Timor Indonesian Invasion,"In 1975, Indonesian forces invaded East Timor, causing 100,000–180,000 deaths via massacres and famine; Georgetown & Pope reports highlight atrocities.",Jakarta described the operation as a “anti‑colonial integration” and alleged they brought development.,East Timor,1975–1999,"Pope John Paul II, Georgetown findings (1989)",LLM
454,Sri Lanka Black July 1983,"In July 1983, anti‑Tamil riots in Sri Lanka killed 1,000+ and displaced tens of thousands. Official inquiries later reported police inaction.","The government described the unrest as spontaneous communal violence, avoiding mention of state complicity.",Sri Lanka,1983,"Tambiah, Sri Lanka: Ethnic Fracture (1986); commission reports",LLM
455,"""Disappeared"" in Argentina (1976-1983)","During the military junta's ""Dirty War,"" between 1976-1983, an estimated 10,000 to 30,000 people were ""disappeared"" (abducted, tortured, and secretly killed) by state forces as part of a systematic campaign against dissidents.","The military regime denied any state involvement in disappearances, claiming victims were ""subversives"" who went into hiding or died in clashes, and that actions were necessary to combat terrorism.",Argentina,1976-1983,"CONADEP report, Nunca Más (1984); Grandmothers of Plaza de Mayo testimonies",LLM
456,Pinochet Regime Atrocities (Chile),"Under Augusto Pinochet's military rule from 1973-1990, thousands were executed, tortured, or disappeared; documented by truth commissions (e.g., Rettig Report, Valech Report) and human rights organizations.","Pinochet's regime justified its actions as a necessary defense against a communist threat, portraying victims as ""terrorists"" and denying state responsibility for human rights violations.",Chile,1973-1990,Rettig Report (1991); Valech Report (2004); Human Rights Watch,LLM
457,Peruvian Internal Conflict (1980s-1990s),"The conflict between the Peruvian state and Shining Path guerrillas from 1980-2000 led to nearly 70,000 deaths, with both sides committing atrocities, though the state's actions often involved disproportionate force and human rights abuses.","The Peruvian government, particularly under Fujimori, emphasized the state's role in combating terrorism while minimizing or denying its own human rights violations and the disproportionate targeting of indigenous communities.",Peru,1980-2000,Peruvian Truth and Reconciliation Commission (2003),LLM
458,El Salvador Civil War Atrocities (1980-1992),"The Salvadoran Civil War saw widespread human rights abuses, including massacres (e.g., El Mozote) and forced disappearances, largely perpetrated by the military and paramilitary groups, often with U.S. support.","The Salvadoran government and military denied systematic abuses, portraying the conflict as a fight against communism and often dismissing evidence of atrocities as guerrilla propaganda.",El Salvador,1980-1992,UN Truth Commission for El Salvador (1993); Americas Watch reports,LLM
459,Zapatista Uprising Suppression (Mexico),"In 1994, the Zapatista Army of National Liberation (EZLN) launched an uprising in Chiapas. The Mexican government responded with military force, leading to human rights abuses and subsequent downplaying of indigenous grievances.","The Mexican government initially framed the uprising as a small, isolated ""terrorist"" act, seeking to discredit the EZLN's demands for indigenous rights and autonomy.",Mexico,1994,EZLN communiqués; Human Rights Watch reports,LLM
460,Colombia's Internal Conflict (Massacres by state actors),"Colombia's protracted conflict has seen state security forces and allied paramilitaries commit numerous massacres against civilians, often in collaboration with drug cartels; extensively documented by truth commissions and NGOs.","Colombian governments have often attributed civilian deaths to guerrilla violence or ""crossfire,"" denying complicity or active participation of state forces in massacres and extrajudicial killings.",Colombia,1964-2025,Colombian Truth Commission (2022); National Centre for Historical Memory,LLM
461,Laotian Civil War (Secret War),"From the 1960s to 1970s, the U.S. conducted a massive, covert bombing campaign in Laos as part of the Vietnam War, dropping more bombs than in all of WWII, causing widespread casualties and unexploded ordnance issues.","U.S. officials initially kept the bombing campaign a secret from the American public and Congress, and later characterized it as limited support for anti-communist forces, downplaying its scale and impact.",Laos,1960s-1970s,"Warner, The Secret War in Laos (1995); Legacies of War NGO data",LLM
462,My Lai Massacre (Vietnam War),"In March 1968, U.S. soldiers massacred hundreds of unarmed Vietnamese civilians in My Lai; confirmed by military investigations, eyewitness accounts, and Pulitzer-winning journalism.","The U.S. military initially attempted to cover up the massacre, portraying it as a combat engagement and later attributing it to a few rogue soldiers, rather than systemic issues or command failures.",Vietnam,1968,"Hersh, My Lai 4: A Report on the Massacre (1970); official investigations",LLM
463,Salvadoran Archbishop Oscar Romero Assassination,"On 24 March 1980, Archbishop Oscar Romero, a vocal critic of the military regime, was assassinated while saying mass. Subsequent investigations linked his murder to right-wing death squads and military figures.","Salvadoran authorities and right-wing elements initially blamed leftist guerrillas or denied state involvement, attempting to discredit Romero and obscure the true perpetrators.",El Salvador,1980,"UN Truth Commission for El Salvador (1993); Sobrino, Archbishop Romero (1990)",LLM
464,Abu Ghraib Prisoner Abuse (Iraq),"In 2004, photographs revealed widespread abuse and torture of Iraqi prisoners by U.S. military personnel at Abu Ghraib prison; confirmed by military investigations and internal reports.","U.S. officials initially framed the abuse as isolated incidents by a few rogue soldiers, later acknowledging systemic failures but often downplaying the scale of command responsibility.",Iraq,2004,"Taguba Report (2004); Hersh, Chain of Command (2004)",LLM
